citizenId,scheme
C04069,Unemployment Allowance
C04175,Thalli Bidda
C02312,Thalli Bidda
C03696,Free Bus Travel for Women
C03063,Free Gas Cylinders
C04507,Unemployment Allowance
C01771,Dokka Seethamma
C01927,Free Gas Cylinders
C03168,Thalli Bidda
C01018,Deepam 2.0
C02873,Deepam 2.0
C00296,Annadata Sukhibhava
C01640,Talliki Vandanam
C03113,Unemployment Allowance
C03489,Annadata Sukhibhava
C01219,Dr NTR Vaidya Seva
C04022,Annadata Sukhibhava
C04730,Annadata Sukhibhava
C04658,Dr NTR Vaidya Seva
C04795,Free Bus Travel for Women
C01728,Free Gas Cylinders
C01958,Talliki Vandanam
C01744,Annadata Sukhibhava
C02010,Dokka Seethamma
C03919,Dokka Seethamma
C01776,Talliki Vandanam
C02630,Dr NTR Vaidya Seva
C04345,Deepam 2.0
C04224,Thalli Bidda
C03064,Free Bus Travel for Women
C01929,Free Gas Cylinders
C02716,Deepam 2.0
C03470,Deepam 2.0
C00437,Deepam 2.0
C04901,Unemployment Allowance
C04497,Thalli Bidda
C02078,Thalli Bidda
C04131,Annadata Sukhibhava
C00932,Deepam 2.0
C04576,Deepam 2.0
C03304,Free Bus Travel for Women
C02379,Free Gas Cylinders
C01002,Thalli Bidda
C01891,Deepam 2.0
C01045,Deepam 2.0
C04744,Free Bus Travel for Women
C00678,Thalli Bidda
C03770,Dokka Seethamma
C03535,Free Gas Cylinders
C00067,Free Bus Travel for Women
C04651,Unemployment Allowance
C03600,Free Gas Cylinders
C00455,Free Gas Cylinders
C02668,Thalli Bidda
C04055,Thalli Bidda
C04609,Annadata Sukhibhava
C03758,Unemployment Allowance
C01670,Annadata Sukhibhava
C01029,Unemployment Allowance
C01735,Unemployment Allowance
C02616,Free Bus Travel for Women
C02866,Free Bus Travel for Women
C04120,Annadata Sukhibhava
C00563,Free Gas Cylinders
C04055,Free Gas Cylinders
C00260,Deepam 2.0
C03764,Deepam 2.0
C00411,Unemployment Allowance
C04224,Talliki Vandanam
C01541,Dr NTR Vaidya Seva
C04846,Free Gas Cylinders
C03693,Free Gas Cylinders
C03422,Deepam 2.0
C02102,Free Bus Travel for Women
C01635,Annadata Sukhibhava
C03334,Dokka Seethamma
C03094,Thalli Bidda
C00040,Dokka Seethamma
C04400,Free Gas Cylinders
C02659,Talliki Vandanam
C03275,Unemployment Allowance
C01867,Unemployment Allowance
C02180,Annadata Sukhibhava
C00496,Annadata Sukhibhava
C00129,Unemployment Allowance
C01196,Thalli Bidda
C04858,Thalli Bidda
C02134,Free Bus Travel for Women
C02858,Unemployment Allowance
C04789,Deepam 2.0
C00940,Talliki Vandanam
C00875,Dokka Seethamma
C00582,Dokka Seethamma
C04471,Dr NTR Vaidya Seva
C00931,Free Bus Travel for Women
C01275,Free Bus Travel for Women
C03029,Thalli Bidda
C02630,Free Bus Travel for Women
C04331,Unemployment Allowance
C04119,Annadata Sukhibhava
C00826,Annadata Sukhibhava
C02662,Thalli Bidda
C00308,Free Bus Travel for Women
C02455,Thalli Bidda
C03027,Dr NTR Vaidya Seva
C00436,Annadata Sukhibhava
C03376,Unemployment Allowance
C01322,Dr NTR Vaidya Seva
C01535,Unemployment Allowance
C02739,Free Gas Cylinders
C02326,Dr NTR Vaidya Seva
C01333,Talliki Vandanam
C01458,Annadata Sukhibhava
C01889,Free Gas Cylinders
C02054,Dr NTR Vaidya Seva
C01390,Deepam 2.0
C02048,Unemployment Allowance
C00033,Thalli Bidda
C00683,Thalli Bidda
C02017,Unemployment Allowance
C01877,Unemployment Allowance
C03154,Dr NTR Vaidya Seva
C00509,Free Gas Cylinders
C02124,Thalli Bidda
C00407,Talliki Vandanam
C03418,Talliki Vandanam
C02047,Dokka Seethamma
C00631,Talliki Vandanam
C03617,Free Gas Cylinders
C00888,Dr NTR Vaidya Seva
C01556,Free Gas Cylinders
C01094,Annadata Sukhibhava
C02128,Annadata Sukhibhava
C01453,Talliki Vandanam
C01397,Deepam 2.0
C02385,Annadata Sukhibhava
C03995,Free Gas Cylinders
C03272,Annadata Sukhibhava
C03138,Dokka Seethamma
C00341,Free Gas Cylinders
C03573,Unemployment Allowance
C00704,Dokka Seethamma
C02751,Unemployment Allowance
C00999,Free Bus Travel for Women
C01789,Free Bus Travel for Women
C03562,Dr NTR Vaidya Seva
C02947,Talliki Vandanam
C01151,Dokka Seethamma
C02790,Annadata Sukhibhava
C02694,Dr NTR Vaidya Seva
C02618,Dokka Seethamma
C00955,Thalli Bidda
C00811,Free Gas Cylinders
C03879,Dokka Seethamma
C01397,Talliki Vandanam
C02697,Deepam 2.0
C02491,Deepam 2.0
C01395,Annadata Sukhibhava
C04792,Annadata Sukhibhava
C00841,Unemployment Allowance
C01311,Unemployment Allowance
C04127,Annadata Sukhibhava
C02378,Annadata Sukhibhava
C02329,Talliki Vandanam
C00689,Free Bus Travel for Women
C04205,Free Gas Cylinders
C03251,Free Bus Travel for Women
C04756,Annadata Sukhibhava
C02331,Deepam 2.0
C03377,Free Gas Cylinders
C01261,Talliki Vandanam
C00989,Deepam 2.0
C00251,Annadata Sukhibhava
C03689,Unemployment Allowance
C00352,Deepam 2.0
C00424,Dokka Seethamma
C02480,Unemployment Allowance
C03571,Dokka Seethamma
C04207,Dokka Seethamma
C03204,Dr NTR Vaidya Seva
C02982,Unemployment Allowance
C04455,Annadata Sukhibhava
C04444,Deepam 2.0
C03796,Deepam 2.0
C04915,Annadata Sukhibhava
C02026,Dr NTR Vaidya Seva
C03745,Free Gas Cylinders
C04970,Annadata Sukhibhava
C03411,Unemployment Allowance
C02238,Annadata Sukhibhava
C02568,Free Bus Travel for Women
C01225,Annadata Sukhibhava
C04586,Talliki Vandanam
C00780,Annadata Sukhibhava
C01563,Talliki Vandanam
C04239,Free Gas Cylinders
C01126,Free Bus Travel for Women
C00839,Free Gas Cylinders
C03299,Dokka Seethamma
C01400,Free Bus Travel for Women
C02375,Deepam 2.0
C04450,Unemployment Allowance
C00102,Deepam 2.0
C01209,Unemployment Allowance
C03233,Deepam 2.0
C03220,Thalli Bidda
C00670,Free Bus Travel for Women
C01296,Talliki Vandanam
C01143,Free Gas Cylinders
C02023,Unemployment Allowance
C01302,Free Bus Travel for Women
C04399,Dr NTR Vaidya Seva
C03613,Talliki Vandanam
C03672,Thalli Bidda
C03153,Talliki Vandanam
C02548,Deepam 2.0
C01622,Dokka Seethamma
C04043,Dr NTR Vaidya Seva
C03237,Thalli Bidda
C02478,Talliki Vandanam
C04417,Thalli Bidda
C03988,Deepam 2.0
C00615,Talliki Vandanam
C03677,Free Gas Cylinders
C01463,Unemployment Allowance
C00425,Talliki Vandanam
C01976,Free Bus Travel for Women
C00294,Free Gas Cylinders
C00599,Talliki Vandanam
C04902,Thalli Bidda
C01185,Unemployment Allowance
C03785,Deepam 2.0
C02824,Unemployment Allowance
C01498,Dr NTR Vaidya Seva
C02838,Unemployment Allowance
C00531,Dr NTR Vaidya Seva
C04357,Free Bus Travel for Women
C04863,Deepam 2.0
C03977,Dr NTR Vaidya Seva
C01917,Dokka Seethamma
C02614,Deepam 2.0
C01799,Dokka Seethamma
C00848,Dokka Seethamma
C01387,Dokka Seethamma
C04724,Free Bus Travel for Women
C03124,Free Bus Travel for Women
C01364,Thalli Bidda
C04500,Dr NTR Vaidya Seva
C04227,Talliki Vandanam
C03917,Talliki Vandanam
C02247,Deepam 2.0
C01903,Free Gas Cylinders
C03741,Free Bus Travel for Women
C00648,Dokka Seethamma
C04933,Free Gas Cylinders
C04742,Free Bus Travel for Women
C00580,Annadata Sukhibhava
C03493,Deepam 2.0
C00663,Free Bus Travel for Women
C02612,Free Bus Travel for Women
C02560,Thalli Bidda
C00468,Free Gas Cylinders
C00057,Thalli Bidda
C00028,Thalli Bidda
C03928,Free Gas Cylinders
C00051,Dokka Seethamma
C04519,Unemployment Allowance
C04640,Unemployment Allowance
C04734,Dr NTR Vaidya Seva
C01621,Free Gas Cylinders
C03737,Dr NTR Vaidya Seva
C04134,Dr NTR Vaidya Seva
C03397,Deepam 2.0
C00580,Free Bus Travel for Women
C04480,Talliki Vandanam
C02666,Free Gas Cylinders
C00598,Unemployment Allowance
C04526,Unemployment Allowance
C02941,Unemployment Allowance
C01404,Deepam 2.0
C03038,Free Gas Cylinders
C02758,Annadata Sukhibhava
C01607,Free Bus Travel for Women
C00284,Free Gas Cylinders
C00552,Free Gas Cylinders
C02410,Annadata Sukhibhava
C04767,Dr NTR Vaidya Seva
C01706,Free Gas Cylinders
C00899,Annadata Sukhibhava
C00213,Dr NTR Vaidya Seva
C04079,Unemployment Allowance
C02807,Annadata Sukhibhava
C01888,Dr NTR Vaidya Seva
C01880,Dr NTR Vaidya Seva
C02913,Talliki Vandanam
C02746,Talliki Vandanam
C02063,Annadata Sukhibhava
C04025,Free Bus Travel for Women
C04069,Deepam 2.0
C01153,Free Bus Travel for Women
C02137,Deepam 2.0
C03440,Thalli Bidda
C04116,Thalli Bidda
C00324,Free Bus Travel for Women
C01414,Free Bus Travel for Women
C04465,Annadata Sukhibhava
C01147,Dokka Seethamma
C00657,Thalli Bidda
C00518,Dokka Seethamma
C04672,Free Bus Travel for Women
C02895,Unemployment Allowance
C03631,Free Gas Cylinders
C01139,Annadata Sukhibhava
C00579,Deepam 2.0
C03615,Free Gas Cylinders
C04763,Dr NTR Vaidya Seva
C02001,Thalli Bidda
C01782,Annadata Sukhibhava
C00719,Unemployment Allowance
C04968,Free Bus Travel for Women
C01955,Annadata Sukhibhava
C00133,Dokka Seethamma
C04128,Dr NTR Vaidya Seva
C01327,Free Bus Travel for Women
C00442,Dr NTR Vaidya Seva
C02739,Unemployment Allowance
C00216,Talliki Vandanam
C01925,Dokka Seethamma
C00783,Dokka Seethamma
C00154,Free Bus Travel for Women
C03421,Unemployment Allowance
C04483,Free Gas Cylinders
C00760,Talliki Vandanam
C00365,Deepam 2.0
C00555,Dokka Seethamma
C01254,Unemployment Allowance
C00621,Unemployment Allowance
C00195,Dokka Seethamma
C00715,Thalli Bidda
C00374,Deepam 2.0
C04242,Unemployment Allowance
C03463,Annadata Sukhibhava
C03479,Dokka Seethamma
C03856,Dokka Seethamma
C03651,Free Bus Travel for Women
C01506,Annadata Sukhibhava
C02307,Thalli Bidda
C00089,Free Bus Travel for Women
C01052,Talliki Vandanam
C02295,Free Bus Travel for Women
C02551,Thalli Bidda
C02096,Free Bus Travel for Women
C01679,Unemployment Allowance
C02503,Deepam 2.0
C00856,Talliki Vandanam
C03370,Free Gas Cylinders
C00544,Talliki Vandanam
C00171,Unemployment Allowance
C03237,Talliki Vandanam
C00538,Talliki Vandanam
C02395,Annadata Sukhibhava
C01633,Annadata Sukhibhava
C01921,Free Gas Cylinders
C03002,Free Gas Cylinders
C03730,Unemployment Allowance
C01091,Talliki Vandanam
C03870,Deepam 2.0
C01048,Free Bus Travel for Women
C04889,Free Gas Cylinders
C03468,Thalli Bidda
C01069,Annadata Sukhibhava
C04007,Dr NTR Vaidya Seva
C00629,Dokka Seethamma
C04915,Dokka Seethamma
C04769,Dokka Seethamma
C04070,Dokka Seethamma
C03719,Thalli Bidda
C03470,Thalli Bidda
C03588,Free Gas Cylinders
C00521,Free Bus Travel for Women
C04097,Thalli Bidda
C03807,Annadata Sukhibhava
C01056,Free Bus Travel for Women
C04969,Dokka Seethamma
C00689,Dokka Seethamma
C04701,Free Bus Travel for Women
C03740,Deepam 2.0
C00342,Unemployment Allowance
C04151,Thalli Bidda
C01842,Talliki Vandanam
C02253,Free Gas Cylinders
C00958,Unemployment Allowance
C02614,Free Gas Cylinders
C04107,Dr NTR Vaidya Seva
C04177,Annadata Sukhibhava
C03738,Free Bus Travel for Women
C02299,Annadata Sukhibhava
C04412,Dokka Seethamma
C00251,Thalli Bidda
C04742,Dr NTR Vaidya Seva
C02554,Talliki Vandanam
C02032,Annadata Sukhibhava
C02850,Thalli Bidda
C02614,Dokka Seethamma
C02716,Free Bus Travel for Women
C04660,Annadata Sukhibhava
C04419,Free Gas Cylinders
C01954,Dr NTR Vaidya Seva
C01149,Talliki Vandanam
C02964,Unemployment Allowance
C02505,Free Bus Travel for Women
C01930,Deepam 2.0
C03671,Annadata Sukhibhava
C04617,Free Gas Cylinders
C02062,Talliki Vandanam
C03364,Free Bus Travel for Women
C04232,Free Gas Cylinders
C03445,Thalli Bidda
C00070,Deepam 2.0
C00447,Thalli Bidda
C00612,Free Gas Cylinders
C01616,Thalli Bidda
C04579,Unemployment Allowance
C01523,Talliki Vandanam
C02838,Free Gas Cylinders
C02853,Free Gas Cylinders
C01795,Free Gas Cylinders
C02188,Unemployment Allowance
C00296,Thalli Bidda
C04229,Dr NTR Vaidya Seva
C03736,Thalli Bidda
C04124,Dokka Seethamma
C04408,Deepam 2.0
C01110,Annadata Sukhibhava
C00257,Talliki Vandanam
C03732,Deepam 2.0
C00075,Unemployment Allowance
C00178,Unemployment Allowance
C04051,Annadata Sukhibhava
C01023,Deepam 2.0
C02418,Dr NTR Vaidya Seva
C00866,Thalli Bidda
C03007,Thalli Bidda
C04403,Talliki Vandanam
C02290,Annadata Sukhibhava
C00189,Unemployment Allowance
C04522,Dr NTR Vaidya Seva
C03350,Thalli Bidda
C00671,Dokka Seethamma
C03428,Unemployment Allowance
C02240,Deepam 2.0
C03551,Deepam 2.0
C02395,Unemployment Allowance
C04077,Talliki Vandanam
C02120,Dokka Seethamma
C03395,Thalli Bidda
C00674,Annadata Sukhibhava
C00129,Annadata Sukhibhava
C04114,Thalli Bidda
C03820,Talliki Vandanam
C01892,Free Bus Travel for Women
C01287,Free Gas Cylinders
C03795,Talliki Vandanam
C02337,Unemployment Allowance
C01837,Talliki Vandanam
C03798,Free Bus Travel for Women
C01103,Unemployment Allowance
C03082,Dr NTR Vaidya Seva
C04343,Thalli Bidda
C02101,Talliki Vandanam
C01752,Talliki Vandanam
C02137,Free Bus Travel for Women
C04206,Annadata Sukhibhava
C03802,Thalli Bidda
C04873,Dokka Seethamma
C04833,Deepam 2.0
C02140,Dr NTR Vaidya Seva
C04700,Deepam 2.0
C02324,Thalli Bidda
C00183,Unemployment Allowance
C04321,Annadata Sukhibhava
C00863,Free Bus Travel for Women
C00485,Annadata Sukhibhava
C04192,Dr NTR Vaidya Seva
C02363,Free Bus Travel for Women
C01114,Free Bus Travel for Women
C00686,Unemployment Allowance
C02927,Dr NTR Vaidya Seva
C03045,Annadata Sukhibhava
C04179,Annadata Sukhibhava
C01361,Thalli Bidda
C03009,Annadata Sukhibhava
C03889,Talliki Vandanam
C00177,Free Bus Travel for Women
C02222,Free Bus Travel for Women
C03771,Unemployment Allowance
C01621,Deepam 2.0
C02901,Dr NTR Vaidya Seva
C03843,Unemployment Allowance
C00233,Free Gas Cylinders
C01721,Dr NTR Vaidya Seva
C01132,Free Gas Cylinders
C00749,Deepam 2.0
