addressId,houseNo,street,areaId,pincode
AD00053,109-14,Street_60,A053,520001
AD00054,173-4,Street_8,A054,522002
AD00055,187-11,Street_14,A055,520002
AD00056,50-7,Street_69,A056,522002
AD00057,36-14,Street_24,A057,522001
AD00058,119-8,Street_10,A058,522002
AD00059,141-4,Street_7,A059,520001
AD00060,24-8,Street_22,A060,522002
AD00061,125-16,Street_28,A061,522002
AD00062,16-6,Street_49,A062,520001
AD00063,100-9,Street_59,A063,522001
AD00064,109-18,Street_63,A064,520002
AD00065,49-10,Street_28,A065,520001
AD00066,149-18,Street_8,A066,522001
AD00067,15-2,Street_75,A067,522002
AD00068,129-17,Street_21,A068,520001
AD00069,131-3,Street_24,A069,520001
AD00070,153-3,Street_31,A070,522002
AD00071,31-19,Street_32,A071,520001
AD00072,159-3,Street_54,A072,522001
AD00073,67-7,Street_41,A073,520002
AD00074,68-13,Street_17,A074,522001
AD00075,118-11,Street_10,A075,520001
AD00076,118-20,Street_73,A076,520001
AD00077,19-18,Street_28,A077,522001
AD00078,34-12,Street_9,A078,520002
AD00079,95-10,Street_21,A079,522002
AD00080,140-10,Street_79,A080,520001
AD00081,171-18,Street_39,A081,520001
AD00082,35-9,Street_15,A082,520001
AD00083,191-18,Street_20,A083,522001
AD00084,73-20,Street_27,A084,522001
AD00085,53-9,Street_65,A085,522002
AD00086,65-2,Street_12,A086,522002
AD00087,71-2,Street_1,A087,522001
AD00088,198-5,Street_34,A088,520002
AD00089,190-15,Street_71,A089,522002
AD00090,144-1,Street_15,A090,520001
AD00091,177-5,Street_70,A091,520001
AD00092,95-19,Street_71,A092,520002
AD00093,111-5,Street_6,A093,522001
AD00094,94-2,Street_46,A094,520002
AD00095,175-8,Street_14,A095,522001
AD00096,200-18,Street_53,A096,520002
AD00097,61-6,Street_23,A097,522002
AD00098,7-6,Street_43,A098,522002
AD00099,172-8,Street_35,A099,520002
AD00100,180-4,Street_49,A100,520001
AD00101,121-8,Street_26,A001,522002
AD00102,90-10,Street_30,A002,520002
AD00103,7-7,Street_52,A003,522001
AD00104,72-3,Street_36,A004,522001
AD00105,165-17,Street_52,A005,522001
AD00106,8-4,Street_34,A006,520002
AD00107,149-9,Street_5,A007,520001
AD00108,153-14,Street_45,A008,522001
AD00109,112-20,Street_66,A009,520001
AD00110,99-19,Street_25,A010,522001
AD00111,12-14,Street_1,A011,520002
AD00112,94-14,Street_9,A012,522001
AD00113,160-11,Street_16,A013,522001
AD00114,130-10,Street_53,A014,522001
AD00115,104-10,Street_71,A015,520002
AD00116,50-14,Street_49,A016,520002
AD00117,158-19,Street_39,A017,522002
AD00118,141-1,Street_39,A018,522001
AD00119,54-14,Street_75,A019,522001
AD00120,120-15,Street_57,A020,520002
AD00121,131-16,Street_22,A021,520001
AD00122,73-17,Street_80,A022,522001
AD00123,24-8,Street_40,A023,520002
AD00124,51-5,Street_4,A024,520001
AD00125,63-16,Street_79,A025,520001
AD00126,117-14,Street_74,A026,520002
AD00127,184-13,Street_64,A027,522002
AD00128,63-5,Street_1,A028,520001
AD00129,200-14,Street_29,A029,520002
AD00130,179-17,Street_60,A030,520001
AD00131,143-8,Street_16,A031,522002
AD00132,35-15,Street_68,A032,522001
AD00133,194-15,Street_79,A033,522002
AD00134,141-15,Street_21,A034,522002
AD00135,116-9,Street_32,A035,522001
AD00136,197-17,Street_63,A036,520002
AD00137,71-15,Street_10,A037,522001
AD00138,61-9,Street_43,A038,522001
AD00139,139-3,Street_18,A039,520002
AD00140,60-13,Street_20,A040,520002
AD00141,17-14,Street_53,A041,522001
AD00142,139-15,Street_54,A042,520001
AD00143,53-14,Street_50,A043,520001
AD00144,196-19,Street_49,A044,522002
AD00145,2-12,Street_39,A045,522002
AD00146,108-18,Street_70,A046,520002
AD00147,125-8,Street_35,A047,522002
AD00148,125-1,Street_50,A048,522001
AD00149,172-13,Street_22,A049,522002
AD00150,33-20,Street_69,A050,520001
AD00151,101-19,Street_73,A051,520001
AD00152,22-14,Street_18,A052,522002
AD00153,47-2,Street_34,A053,522002
AD00154,84-7,Street_59,A054,522001
AD00155,87-13,Street_36,A055,522002
AD00156,65-3,Street_61,A056,520001
AD00157,192-18,Street_7,A057,522001
AD00158,58-3,Street_6,A058,520001
AD00159,64-7,Street_3,A059,520002
AD00160,62-5,Street_61,A060,520001
AD00161,145-7,Street_60,A061,522001
AD00162,197-12,Street_22,A062,520001
AD00163,200-6,Street_40,A063,520001
AD00164,149-1,Street_40,A064,522002
AD00165,102-7,Street_10,A065,520002
AD00166,27-10,Street_77,A066,520001
AD00167,145-2,Street_45,A067,522002
AD00168,170-12,Street_9,A068,522001
AD00169,4-14,Street_63,A069,520001
AD00170,111-12,Street_59,A070,520002
AD00171,112-6,Street_67,A071,522001
AD00172,158-18,Street_62,A072,522002
AD00173,112-19,Street_35,A073,522001
AD00174,63-3,Street_36,A074,522002
AD00175,63-15,Street_73,A075,522002
AD00176,87-1,Street_64,A076,522001
AD00177,47-16,Street_28,A077,522001
AD00178,67-11,Street_36,A078,522001
AD00179,143-1,Street_67,A079,520002
AD00180,22-8,Street_53,A080,522002
AD00181,143-8,Street_61,A081,522002
AD00182,115-1,Street_12,A082,522001
AD00183,57-13,Street_32,A083,522001
AD00184,170-19,Street_48,A084,522002
AD00185,142-17,Street_45,A085,522002
AD00186,191-18,Street_43,A086,522001
AD00187,180-15,Street_35,A087,522001
AD00188,65-8,Street_16,A088,520002
AD00189,81-4,Street_69,A089,520002
AD00190,50-7,Street_62,A090,522001
AD00191,186-19,Street_68,A091,522001
AD00192,26-7,Street_38,A092,520002
AD00193,93-6,Street_39,A093,520001
AD00194,182-18,Street_17,A094,522001
AD00195,12-2,Street_71,A095,522001
AD00196,179-5,Street_63,A096,520001
AD00197,4-19,Street_37,A097,522002
AD00198,123-15,Street_44,A098,520002
AD00199,14-9,Street_62,A099,520001
AD00200,17-13,Street_63,A100,520001
AD00201,148-2,Street_20,A001,520002
AD00202,145-10,Street_11,A002,520002
AD00203,31-18,Street_54,A003,520002
AD00204,199-17,Street_49,A004,522002
AD00205,114-10,Street_76,A005,522002
AD00206,79-19,Street_80,A006,520001
AD00207,157-4,Street_27,A007,520002
AD00208,68-3,Street_21,A008,520002
AD00209,45-18,Street_10,A009,520002
AD00210,1-14,Street_58,A010,522002
AD00211,75-2,Street_30,A011,522001
AD00212,181-10,Street_59,A012,520001
AD00213,176-8,Street_34,A013,520002
AD00214,109-4,Street_70,A014,520002
AD00215,166-5,Street_35,A015,520002
AD00216,19-2,Street_22,A016,522001
AD00217,153-19,Street_37,A017,522002
AD00218,32-15,Street_39,A018,522002
AD00219,70-17,Street_70,A019,522002
AD00220,113-3,Street_77,A020,520001
AD00221,111-11,Street_78,A021,522001
AD00222,7-3,Street_30,A022,520001
AD00223,196-9,Street_74,A023,520001
AD00224,196-6,Street_61,A024,522002
AD00225,72-6,Street_75,A025,522002
AD00226,163-16,Street_12,A026,522002
AD00227,90-14,Street_43,A027,522001
AD00228,172-4,Street_21,A028,522001
AD00229,106-16,Street_37,A029,522002
AD00230,195-18,Street_5,A030,522002
AD00231,23-11,Street_33,A031,522001
AD00232,30-13,Street_66,A032,520001
AD00233,169-18,Street_60,A033,522002
AD00234,14-7,Street_67,A034,522001
AD00235,160-16,Street_57,A035,520001
AD00236,53-9,Street_71,A036,520002
AD00237,74-15,Street_63,A037,520001
AD00238,8-20,Street_31,A038,520002
AD00239,80-18,Street_2,A039,522002
AD00240,24-8,Street_15,A040,522002
AD00241,31-5,Street_64,A041,522001
AD00242,131-9,Street_54,A042,522002
AD00243,121-8,Street_59,A043,520002
AD00244,99-7,Street_77,A044,520002
AD00245,18-9,Street_54,A045,522001
AD00246,130-9,Street_1,A046,522001
AD00247,186-10,Street_76,A047,522002
AD00248,39-15,Street_69,A048,522002
AD00249,89-11,Street_71,A049,522002
AD00250,117-11,Street_25,A050,520002
AD00251,147-13,Street_30,A051,522002
AD00252,12-11,Street_61,A052,522002
AD00253,99-5,Street_64,A053,520001
AD00254,33-17,Street_76,A054,522001
AD00255,26-15,Street_13,A055,522002
AD00256,4-5,Street_53,A056,520002
AD00257,20-16,Street_34,A057,522001
AD00258,160-13,Street_11,A058,522001
AD00259,173-18,Street_49,A059,522001
AD00260,161-16,Street_70,A060,520001
AD00261,159-3,Street_31,A061,522001
AD00262,59-3,Street_56,A062,520001
AD00263,195-4,Street_57,A063,520002
AD00264,178-10,Street_4,A064,520001
AD00265,84-2,Street_38,A065,522001
AD00266,96-14,Street_19,A066,520002
AD00267,136-14,Street_73,A067,520002
AD00268,44-6,Street_11,A068,522002
AD00269,159-8,Street_64,A069,520002
AD00270,60-15,Street_33,A070,522002
AD00271,66-1,Street_60,A071,522001
AD00272,174-18,Street_21,A072,520001
AD00273,114-12,Street_76,A073,522001
AD00274,164-14,Street_33,A074,522002
AD00275,78-7,Street_50,A075,522002
AD00276,28-8,Street_49,A076,522001
AD00277,148-10,Street_38,A077,520001
AD00278,169-13,Street_36,A078,520001
AD00279,145-2,Street_78,A079,522002
AD00280,74-8,Street_78,A080,522001
AD00281,57-7,Street_80,A081,522001
AD00282,174-5,Street_13,A082,520001
AD00283,80-15,Street_5,A083,522001
AD00284,188-5,Street_12,A084,522001
AD00285,84-14,Street_23,A085,520002
AD00286,34-18,Street_47,A086,522001
AD00287,43-9,Street_62,A087,522001
AD00288,192-11,Street_15,A088,522002
AD00289,20-5,Street_29,A089,522002
AD00290,143-12,Street_12,A090,522002
AD00291,4-9,Street_69,A091,520001
AD00292,117-12,Street_34,A092,522002
AD00293,164-12,Street_14,A093,520002
AD00294,121-1,Street_80,A094,522001
AD00295,157-8,Street_9,A095,522002
AD00296,180-10,Street_53,A096,520001
AD00297,36-2,Street_5,A097,522001
AD00298,127-4,Street_13,A098,520002
AD00299,138-5,Street_50,A099,522002
AD00300,95-18,Street_54,A100,520002
AD00301,107-4,Street_63,A001,522002
AD00302,72-2,Street_48,A002,520002
AD00303,114-15,Street_31,A003,522001
AD00304,26-12,Street_70,A004,522001
AD00305,16-13,Street_36,A005,520002
AD00306,32-15,Street_12,A006,520002
AD00307,165-20,Street_3,A007,520001
AD00308,86-8,Street_17,A008,520002
AD00309,18-18,Street_27,A009,520002
AD00310,60-11,Street_19,A010,520001
AD00311,71-5,Street_17,A011,522001
AD00312,45-4,Street_4,A012,520002
AD00313,4-12,Street_31,A013,522001
AD00314,5-6,Street_34,A014,520001
AD00315,33-14,Street_68,A015,520001
AD00316,191-3,Street_61,A016,522002
AD00317,200-12,Street_66,A017,520001
AD00318,116-17,Street_29,A018,520001
AD00319,187-17,Street_39,A019,522002
AD00320,165-1,Street_8,A020,522002
AD00321,103-14,Street_14,A021,522002
AD00322,183-15,Street_10,A022,520001
AD00323,83-20,Street_19,A023,520001
AD00324,33-9,Street_80,A024,522001
AD00325,98-20,Street_68,A025,522001
AD00326,117-17,Street_78,A026,522002
AD00327,26-4,Street_71,A027,520002
AD00328,111-15,Street_30,A028,522002
AD00329,87-15,Street_52,A029,522002
AD00330,187-4,Street_41,A030,522002
AD00331,81-9,Street_48,A031,520002
AD00332,176-16,Street_9,A032,520001
AD00333,22-3,Street_56,A033,520001
AD00334,191-12,Street_17,A034,520001
AD00335,151-18,Street_72,A035,522001
AD00336,172-4,Street_53,A036,522001
AD00337,171-14,Street_7,A037,522001
AD00338,154-10,Street_46,A038,520001
AD00339,148-17,Street_28,A039,520002
AD00340,169-16,Street_29,A040,520001
AD00341,90-18,Street_48,A041,520001
AD00342,196-9,Street_74,A042,520002
AD00343,110-18,Street_80,A043,520001
AD00344,156-9,Street_4,A044,520002
AD00345,70-10,Street_44,A045,522001
AD00346,2-6,Street_19,A046,522002
AD00347,18-5,Street_4,A047,520001
AD00348,192-17,Street_28,A048,522002
AD00349,108-15,Street_44,A049,520002
AD00350,95-10,Street_42,A050,520001
AD00351,14-5,Street_21,A051,520001
AD00352,173-3,Street_35,A052,522002
AD00353,170-14,Street_63,A053,522002
AD00354,107-9,Street_28,A054,520001
AD00355,89-14,Street_15,A055,522001
AD00356,174-19,Street_63,A056,522001
AD00357,12-8,Street_51,A057,520001
AD00358,2-7,Street_39,A058,520002
AD00359,197-5,Street_33,A059,522001
AD00360,84-4,Street_1,A060,522002
AD00361,192-14,Street_23,A061,520002
AD00362,98-18,Street_30,A062,522001
AD00363,19-13,Street_6,A063,522002
AD00364,5-15,Street_10,A064,522001
AD00365,148-14,Street_74,A065,522002
AD00366,182-14,Street_38,A066,520001
AD00367,104-1,Street_42,A067,520002
AD00368,159-15,Street_47,A068,520001
AD00369,112-4,Street_32,A069,522002
AD00370,151-13,Street_68,A070,520001
AD00371,102-10,Street_44,A071,520002
AD00372,86-6,Street_10,A072,520001
AD00373,136-17,Street_25,A073,522001
AD00374,90-5,Street_31,A074,520001
AD00375,38-9,Street_26,A075,520002
AD00376,155-5,Street_10,A076,520002
AD00377,198-16,Street_60,A077,522002
AD00378,175-19,Street_80,A078,522001
AD00379,161-11,Street_20,A079,522002
AD00380,18-16,Street_57,A080,522001
AD00381,71-19,Street_8,A081,522001
AD00382,130-3,Street_40,A082,522002
AD00383,116-2,Street_8,A083,522001
AD00384,74-3,Street_12,A084,522002
AD00385,119-19,Street_71,A085,520001
AD00386,116-19,Street_25,A086,522001
AD00387,155-16,Street_65,A087,520002
AD00388,16-15,Street_14,A088,522001
AD00389,183-3,Street_65,A089,520002
AD00390,11-8,Street_57,A090,522002
AD00391,135-17,Street_79,A091,520002
AD00392,94-12,Street_37,A092,522002
AD00393,105-11,Street_77,A093,520001
AD00394,162-11,Street_9,A094,522001
AD00395,25-18,Street_50,A095,522001
AD00396,65-20,Street_20,A096,522001
AD00397,21-19,Street_19,A097,522001
AD00398,80-13,Street_17,A098,520001
AD00399,80-18,Street_49,A099,522001
AD00400,33-17,Street_12,A100,522002
AD00401,131-12,Street_3,A001,522001
AD00402,80-6,Street_28,A002,522001
AD00403,197-16,Street_25,A003,520002
AD00404,36-5,Street_10,A004,522001
AD00405,26-17,Street_70,A005,520001
AD00406,170-11,Street_80,A006,520002
AD00407,153-13,Street_20,A007,520002
AD00408,47-20,Street_22,A008,522002
AD00409,12-14,Street_47,A009,520002
AD00410,114-20,Street_37,A010,522002
AD00411,60-18,Street_31,A011,522001
AD00412,121-7,Street_48,A012,522002
AD00413,119-10,Street_49,A013,522002
AD00414,42-7,Street_78,A014,520002
AD00415,65-2,Street_62,A015,522001
AD00416,142-4,Street_67,A016,520001
AD00417,73-3,Street_21,A017,522001
AD00418,116-17,Street_19,A018,522002
AD00419,24-8,Street_58,A019,522001
AD00420,7-14,Street_7,A020,522002
AD00421,129-12,Street_31,A021,522002
AD00422,21-12,Street_29,A022,520001
AD00423,82-4,Street_43,A023,520002
AD00424,36-2,Street_37,A024,522002
AD00425,179-5,Street_61,A025,522002
AD00426,158-1,Street_11,A026,520001
AD00427,66-7,Street_20,A027,522002
AD00428,29-10,Street_31,A028,522001
AD00429,32-2,Street_31,A029,522002
AD00430,164-20,Street_59,A030,520001
AD00431,29-16,Street_77,A031,520001
AD00432,162-17,Street_74,A032,520002
AD00433,184-5,Street_38,A033,522002
AD00434,1-20,Street_46,A034,520002
AD00435,147-14,Street_24,A035,520001
AD00436,135-12,Street_9,A036,520001
AD00437,100-16,Street_6,A037,522002
AD00438,96-9,Street_3,A038,522001
AD00439,18-12,Street_31,A039,520001
AD00440,198-19,Street_43,A040,520002
AD00441,12-12,Street_70,A041,522001
AD00442,165-6,Street_60,A042,522002
AD00443,162-6,Street_18,A043,520001
AD00444,184-15,Street_5,A044,522001
AD00445,52-2,Street_26,A045,520001
AD00446,81-10,Street_66,A046,522002
AD00447,140-16,Street_33,A047,520001
AD00448,193-7,Street_37,A048,522001
AD00449,200-2,Street_43,A049,522001
AD00450,32-12,Street_56,A050,522002
AD00451,191-15,Street_50,A051,522001
AD00452,48-16,Street_64,A052,522001
AD00453,133-9,Street_11,A053,522002
AD00454,21-14,Street_78,A054,520002
AD00455,140-10,Street_42,A055,520001
AD00456,21-11,Street_38,A056,522001
AD00457,115-20,Street_55,A057,520002
AD00458,177-15,Street_45,A058,522002
AD00459,11-12,Street_79,A059,522002
AD00460,71-2,Street_10,A060,522002
AD00461,94-17,Street_21,A061,520001
AD00462,37-20,Street_57,A062,520001
AD00463,33-3,Street_31,A063,522001
AD00464,93-13,Street_73,A064,520001
AD00465,155-5,Street_58,A065,522001
AD00466,96-15,Street_10,A066,520002
AD00467,136-12,Street_51,A067,522001
AD00468,167-9,Street_32,A068,520001
AD00469,7-6,Street_64,A069,522002
AD00470,144-4,Street_34,A070,522001
AD00471,181-15,Street_28,A071,522001
AD00472,178-16,Street_26,A072,520001
AD00473,35-3,Street_58,A073,520002
AD00474,183-15,Street_12,A074,522001
AD00475,171-12,Street_9,A075,522001
AD00476,77-6,Street_23,A076,522001
AD00477,131-8,Street_16,A077,520002
AD00478,36-8,Street_64,A078,520001
AD00479,93-18,Street_74,A079,522001
AD00480,120-18,Street_17,A080,520001
AD00481,17-10,Street_51,A081,522002
AD00482,135-14,Street_53,A082,520001
AD00483,33-11,Street_10,A083,522002
AD00484,120-17,Street_45,A084,520002
AD00485,200-18,Street_76,A085,520002
AD00486,197-5,Street_56,A086,520001
AD00487,32-17,Street_20,A087,522001
AD00488,43-6,Street_42,A088,520002
AD00489,89-17,Street_37,A089,520001
AD00490,65-7,Street_71,A090,522001
AD00491,33-10,Street_79,A091,520001
AD00492,129-6,Street_76,A092,520002
AD00493,44-20,Street_78,A093,522001
AD00494,145-2,Street_4,A094,520001
AD00495,12-19,Street_34,A095,520002
AD00496,197-19,Street_54,A096,520001
AD00497,128-18,Street_38,A097,522001
AD00498,124-8,Street_52,A098,522001
AD00499,117-3,Street_8,A099,520002
AD00500,113-14,Street_62,A100,522002
AD00501,53-11,Street_78,A001,520002
AD00502,81-11,Street_45,A002,522002
AD00503,34-12,Street_66,A003,520001
AD00504,82-8,Street_60,A004,520001
AD00505,69-15,Street_32,A005,520002
AD00506,25-2,Street_38,A006,522002
AD00507,158-14,Street_32,A007,520002
AD00508,84-19,Street_41,A008,520002
AD00509,196-6,Street_64,A009,522002
AD00510,128-10,Street_64,A010,520001
AD00511,24-13,Street_65,A011,522002
AD00512,62-7,Street_75,A012,522001
AD00513,13-2,Street_37,A013,522002
AD00514,153-16,Street_37,A014,520001
AD00515,28-14,Street_18,A015,522001
AD00516,187-12,Street_52,A016,522001
AD00517,12-13,Street_7,A017,520002
AD00518,93-18,Street_37,A018,520001
AD00519,99-17,Street_58,A019,522001
AD00520,160-20,Street_16,A020,520002
AD00521,25-13,Street_48,A021,522001
AD00522,143-12,Street_19,A022,520002
AD00523,155-17,Street_52,A023,520001
AD00524,12-2,Street_18,A024,522001
AD00525,122-17,Street_59,A025,520002
AD00526,156-17,Street_18,A026,522001
AD00527,157-11,Street_21,A027,522002
AD00528,158-10,Street_76,A028,522001
AD00529,130-17,Street_69,A029,522002
AD00530,182-19,Street_39,A030,522002
AD00531,5-12,Street_43,A031,520001
AD00532,107-19,Street_40,A032,520001
AD00533,153-16,Street_34,A033,520002
AD00534,185-2,Street_75,A034,522002
AD00535,44-17,Street_80,A035,522002
AD00536,38-8,Street_5,A036,520001
AD00537,49-1,Street_57,A037,522001
AD00538,108-5,Street_53,A038,520002
AD00539,106-17,Street_79,A039,522002
AD00540,189-2,Street_18,A040,520002
AD00541,144-11,Street_62,A041,522002
AD00542,81-6,Street_59,A042,522001
AD00543,140-12,Street_34,A043,522002
AD00544,50-8,Street_36,A044,522001
AD00545,58-10,Street_37,A045,520002
AD00546,177-16,Street_41,A046,522002
AD00547,90-18,Street_36,A047,522001
AD00548,32-19,Street_70,A048,522002
AD00549,102-12,Street_19,A049,522001
AD00550,11-10,Street_11,A050,522001
AD00551,114-9,Street_62,A051,520002
AD00552,52-18,Street_35,A052,522001
AD00553,36-4,Street_79,A053,520002
AD00554,63-2,Street_68,A054,520002
AD00555,164-8,Street_7,A055,520001
AD00556,106-11,Street_61,A056,520001
AD00557,175-5,Street_1,A057,520002
AD00558,105-16,Street_62,A058,520002
AD00559,194-10,Street_42,A059,522001
AD00560,166-2,Street_12,A060,520002
AD00561,137-2,Street_23,A061,522002
AD00562,46-2,Street_51,A062,522002
AD00563,48-10,Street_5,A063,520001
AD00564,77-19,Street_78,A064,520001
AD00565,86-10,Street_59,A065,522002
AD00566,35-17,Street_60,A066,522001
AD00567,50-4,Street_43,A067,520002
AD00568,188-15,Street_33,A068,520002
AD00569,4-11,Street_38,A069,520002
AD00570,45-20,Street_52,A070,522002
AD00571,132-11,Street_12,A071,522002
AD00572,172-4,Street_24,A072,520002
AD00573,123-11,Street_32,A073,520001
AD00574,67-13,Street_31,A074,522002
AD00575,193-9,Street_43,A075,522001
AD00576,150-19,Street_2,A076,522001
AD00577,168-12,Street_31,A077,520001
AD00578,171-4,Street_60,A078,522001
AD00579,41-13,Street_65,A079,522001
AD00580,177-4,Street_38,A080,522001
AD00581,158-8,Street_29,A081,520002
AD00582,123-5,Street_59,A082,522001
AD00583,107-18,Street_61,A083,520002
AD00584,196-8,Street_77,A084,520001
AD00585,135-15,Street_68,A085,522001
AD00586,20-19,Street_15,A086,520001
AD00587,141-17,Street_26,A087,520002
AD00588,43-11,Street_67,A088,522002
AD00589,30-7,Street_75,A089,522002
AD00590,24-17,Street_58,A090,520001
AD00591,117-5,Street_66,A091,522002
AD00592,117-19,Street_8,A092,522002
AD00593,173-10,Street_3,A093,522002
AD00594,66-1,Street_28,A094,520001
AD00595,12-14,Street_45,A095,520001
AD00596,139-2,Street_9,A096,522002
AD00597,9-10,Street_53,A097,520002
AD00598,197-5,Street_54,A098,522001
AD00599,98-15,Street_49,A099,522002
AD00600,21-18,Street_18,A100,522001
AD00601,31-6,Street_69,A001,522002
AD00602,136-5,Street_29,A002,520001
AD00603,194-1,Street_39,A003,522002
AD00604,173-18,Street_55,A004,522002
AD00605,59-8,Street_59,A005,522001
AD00606,40-9,Street_25,A006,520001
AD00607,9-14,Street_79,A007,520001
AD00608,62-7,Street_9,A008,520001
AD00609,153-2,Street_58,A009,520001
AD00610,63-2,Street_52,A010,522002
AD00611,60-18,Street_28,A011,520001
AD00612,36-17,Street_38,A012,520002
AD00613,188-19,Street_41,A013,522001
AD00614,61-10,Street_19,A014,520002
AD00615,106-10,Street_36,A015,520001
AD00616,143-19,Street_23,A016,522002
AD00617,143-16,Street_7,A017,522001
AD00618,165-13,Street_68,A018,522001
AD00619,179-14,Street_53,A019,520002
AD00620,77-13,Street_24,A020,522002
AD00621,62-8,Street_39,A021,520002
AD00622,119-2,Street_72,A022,522002
AD00623,107-18,Street_68,A023,520002
AD00624,100-8,Street_33,A024,520002
AD00625,85-3,Street_58,A025,522001
AD00626,24-18,Street_25,A026,520001
AD00627,69-13,Street_78,A027,520001
AD00628,19-7,Street_76,A028,520002
AD00629,123-7,Street_43,A029,522001
AD00630,4-7,Street_25,A030,520001
AD00631,192-16,Street_32,A031,520002
AD00632,102-8,Street_71,A032,522001
AD00633,199-10,Street_49,A033,522002
AD00634,137-12,Street_40,A034,522001
AD00635,93-17,Street_64,A035,522002
AD00636,26-16,Street_41,A036,520002
AD00637,95-11,Street_53,A037,520001
AD00638,145-8,Street_19,A038,520001
AD00639,67-18,Street_75,A039,522002
AD00640,76-5,Street_26,A040,522001
AD00641,59-13,Street_73,A041,520002
AD00642,128-18,Street_44,A042,522001
AD00643,196-16,Street_63,A043,522002
AD00644,44-12,Street_22,A044,520002
AD00645,185-18,Street_63,A045,520002
AD00646,139-2,Street_68,A046,520001
AD00647,20-2,Street_1,A047,522002
AD00648,36-8,Street_9,A048,520002
AD00649,3-7,Street_65,A049,522002
AD00650,96-2,Street_80,A050,522002
AD00651,169-16,Street_3,A051,520001
AD00652,137-18,Street_53,A052,520001
AD00653,5-17,Street_36,A053,522001
AD00654,5-17,Street_56,A054,520002
AD00655,28-4,Street_68,A055,520002
AD00656,62-7,Street_80,A056,522001
AD00657,91-9,Street_51,A057,520001
AD00658,96-13,Street_59,A058,520002
AD00659,179-8,Street_39,A059,520001
AD00660,168-2,Street_12,A060,522002
AD00661,98-13,Street_71,A061,522002
AD00662,15-1,Street_22,A062,520001
AD00663,128-14,Street_43,A063,520001
AD00664,136-2,Street_30,A064,520002
AD00665,178-19,Street_61,A065,522001
AD00666,12-3,Street_36,A066,520001
AD00667,46-11,Street_3,A067,520002
AD00668,151-5,Street_51,A068,520001
AD00669,77-6,Street_73,A069,520002
AD00670,146-13,Street_70,A070,522001
AD00671,99-5,Street_11,A071,522001
AD00672,14-4,Street_56,A072,520002
AD00673,20-11,Street_78,A073,522002
AD00674,199-11,Street_4,A074,522001
AD00675,116-16,Street_30,A075,522001
AD00676,142-13,Street_56,A076,520002
AD00677,175-19,Street_49,A077,520001
AD00678,198-20,Street_38,A078,520002
AD00679,183-3,Street_11,A079,522001
AD00680,40-13,Street_20,A080,522002
AD00681,82-12,Street_14,A081,520001
AD00682,2-10,Street_57,A082,522001
AD00683,195-9,Street_14,A083,520002
AD00684,23-6,Street_56,A084,522002
AD00685,143-18,Street_66,A085,522002
AD00686,27-1,Street_12,A086,522001
AD00687,142-3,Street_77,A087,522001
AD00688,99-1,Street_38,A088,522002
AD00689,100-3,Street_72,A089,520002
AD00690,147-17,Street_22,A090,522002
AD00691,44-5,Street_35,A091,522001
AD00692,69-16,Street_19,A092,520001
AD00693,43-14,Street_36,A093,522002
AD00694,77-16,Street_10,A094,522001
AD00695,65-8,Street_64,A095,520002
AD00696,118-4,Street_18,A096,522001
AD00697,2-13,Street_43,A097,522002
AD00698,85-15,Street_43,A098,522002
